sku,name,type,price,description
1001,Anchor,Equipment,285.31,Heavy-duty ship anchor
1002,Sail,Equipment,338.99,High-quality sail
1003,Compass,Navigation,463.89,Precision marine compass
1004,Fishing Rod,Equipment,313.39,Durable fishing rod
1005,Life Jacket,Safety,414.16,Standard life jacket
1006,Telescope,Navigation,347.52,High-powered telescope
1007,Boat Engine,Equipment,280.45,Reliable boat engine
1008,Radar,Navigation,128.5,Advanced radar system
1009,Radio,Communication,218.74,Marine radio
1000,Sextant,Navigation,484.19,Accurate nautical sextant
1001,Anchor,Equipment,332.31,Heavy-duty ship anchor
1002,Sail,Equipment,286.55,High-quality sail
1003,Compass,Navigation,467.15,Precision marine compass
1004,Fishing Rod,Equipment,297.39,Durable fishing rod
1005,Life Jacket,Safety,267.78,Standard life jacket
1006,Telescope,Navigation,382.06,High-powered telescope
1007,Boat Engine,Equipment,359.21,Reliable boat engine
1008,Radar,Navigation,104.65,Advanced radar system
1009,Radio,Communication,240.94,Marine radio
1000,Sextant,Navigation,241.53,Accurate nautical sextant
1001,Anchor,Equipment,195.33,Heavy-duty ship anchor
1002,Sail,Equipment,263.47,High-quality sail
1003,Compass,Navigation,212.42,Precision marine compass
1004,Fishing Rod,Equipment,107.68,Durable fishing rod
1005,Life Jacket,Safety,212.06,Standard life jacket
1006,Telescope,Navigation,45.42,High-powered telescope
1007,Boat Engine,Equipment,292.14,Reliable boat engine
1008,Radar,Navigation,428.29,Advanced radar system
1009,Radio,Communication,365.39,Marine radio
1000,Sextant,Navigation,186.59,Accurate nautical sextant
1001,Anchor,Equipment,52.66,Heavy-duty ship anchor
1002,Sail,Equipment,109.05,High-quality sail
1003,Compass,Navigation,277.29,Precision marine compass
1004,Fishing Rod,Equipment,111.46,Durable fishing rod
1005,Life Jacket,Safety,276.55,Standard life jacket
1006,Telescope,Navigation,123.48,High-powered telescope
1007,Boat Engine,Equipment,425.97,Reliable boat engine
1008,Radar,Navigation,204.66,Advanced radar system
1009,Radio,Communication,130.32,Marine radio
1000,Sextant,Navigation,408.04,Accurate nautical sextant
1001,Anchor,Equipment,177.99,Heavy-duty ship anchor
1002,Sail,Equipment,64.63,High-quality sail
1003,Compass,Navigation,289.5,Precision marine compass
1004,Fishing Rod,Equipment,294.97,Durable fishing rod
1005,Life Jacket,Safety,360.2,Standard life jacket
1006,Telescope,Navigation,127.71,High-powered telescope
1007,Boat Engine,Equipment,227.45,Reliable boat engine
1008,Radar,Navigation,148.36,Advanced radar system
1009,Radio,Communication,49.67,Marine radio
1000,Sextant,Navigation,439.54,Accurate nautical sextant
